# Open Chinese Convert (OpenCC) Dictionary
# File: TSCharacters.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: hk2s.json, t2s.json, tw2s.json, tw2sp.json
#
# Audit notes for rare inferred simplified forms:
# Lines tagged @tofu-risk keep the original character as the default candidate.
# Their rare inferred simplified forms may render as tofu on mainstream default
# fonts, so they are generated into TSCharactersExt.txt as a separate table.

# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝈 U+2B748
㑮	㑮 𫝈
𤩂	𤩂 𫞧
𤪺	㻘
𤫩	㻏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪼴 U+2AF34
𤬅	𤬅 𪼴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪽝 U+2AF5D
𤳷	𤳷 𪽝
𤳸	𤳄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪽭 U+2AF6D
𤷃	𤷃 𪽭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤶧 U+24DA7
𤸫	𤸫 𤶧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪽴 U+2AF74
𤺔	𤺔 𪽴
𥊝	𥅿
𥌃	𥅘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪿊 U+2AFCA
𥏝	𥏝 𪿊
𥕥	𥐰
𥖅	𥐯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪿞 U+2AFDE
𥖲	𥖲 𪿞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪿵 U+2AFF5
𥗇	𥗇 𪿵
𥗽	𬒗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫀓 U+2B013
𥜐	𥜐 𫀓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫀌 U+2B00C
𥜰	𥜰 𫀌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥞦 U+257A6
𥞵	𥞵 𥞦
𥢢	䅪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞷 U+2B7B7
𥢶	𥢶 𫞷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫀮 U+2B02E
𥢷	𥢷 𫀮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥧂 U+259C2
𥨐	𥨐 𥧂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥩺 U+25A7A
𥪂	𥪂 𥩺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫁳 U+2B073
𥯤	𥯤 𫁳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫂖 U+2B096
𥴨	𥴨 𫂖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫁺 U+2B07A
𥴼	𥴼 𫁺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥱔 U+25C54
𥵃	𥵃 𥱔
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥭉 U+25B49
𥵊	𥵊 𥭉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫁱 U+2B071
𥶽	𥶽 𫁱
𥸠	𥮋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫂿 U+2B0BF
𥻦	𥻦 𫂿
𥼽	𥹥
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥺇 U+25E87
𥽖	𥽖 𥺇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄝 U+2B11D
𥾯	𥾯 𫄝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈈 U+26208
𥿊	𥿊 𦈈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄦 U+2B126
𦀖	𦀖 𫄦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈒 U+26212
𦂅	𦂅 𦈒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈗 U+26217
𦃄	𦃄 𦈗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄯 U+2B12F
𦃩	𦃩 𫄯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄪 U+2B12A
𦅇	𦅇 𫄪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄵 U+2B135
𦅈	𦅈 𫄵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟇 U+2B7C7
𦆲	𦆲 𫟇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫅥 U+2B165
𦒀	𦒀 𫅥
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫅼 U+2B17C
𦔖	𦔖 𫅼
𦘧	𡳒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫆝 U+2B19D
𦟼	𦟼 𫆝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞅 U+2B785
𦠅	𦠅 𫞅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫆫 U+2B1AB
𦡝	𦡝 𫆫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣍨 U+23368
𦢈	𦢈 𣍨
𦣎	𦟗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫇘 U+2B1D8
𦧺	𦧺 𫇘
𦪙	䑽
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦨩 U+26A29
𦪽	𦪽 𦨩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫇪 U+2B1EA
𦱌	𦱌 𫇪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦶻 U+26DBB
𦾟	𦾟 𦶻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧌥 U+27325
𧎈	𧎈 𧌥
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫊹 U+2B2B9
𧒯	𧒯 𫊹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧒭 U+274AD
𧔥	𧔥 𧒭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧉐 U+27250
𧕟	𧕟 𧉐
𧜗	䘞
𧜵	䙊
𧝞	䘛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫌋 U+2B30B
𧞫	𧞫 𫌋
𧟀	𧝧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫌫 U+2B32B
𧡴	𧡴 𫌫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫌬 U+2B32C
𧢄	𧢄 𫌬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍞 U+2B35E
𧦝	𧦝 𫍞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍟 U+2B35F
𧦧	𧦧 𫍟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍭 U+2B36D
𧩕	𧩕 𫍭
𧩙	䜥
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍶 U+2B376
𧩼	𧩼 𫍶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍺 U+2B37A
𧫝	𧫝 𫍺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍼 U+2B37C
𧬤	𧬤 𫍼
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍾 U+2B37E
𧭈	𧭈 𫍾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍐 U+2B350
𧭹	𧭹 𫍐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧳕 U+27CD5
𧳟	𧳟 𧳕
𧵳	䞌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧹓 U+27E53
𧶔	𧶔 𧹓
𧶧	䞎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪠀 U+2A800
𧷎	𧷎 𪠀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎨 U+2B3A8
𧸘	𧸘 𫎨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪥠 U+2A960
𧹈	𧹈 𪥠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎸 U+2B3B8
𧽯	𧽯 𫎸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫏌 U+2B3CC
𨂐	𨂐 𫏌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨀱 U+28031
𨄣	𨄣 𨀱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨁴 U+28074
𨅍	𨅍 𨁴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫏕 U+2B3D5
𨆪	𨆪 𫏕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧿈 U+27FC8
𨇁	𨇁 𧿈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨅫 U+2816B
𨇞	𨇞 𨅫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫏨 U+2B3E8
𨇤	𨇤 𫏨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫏞 U+2B3DE
𨇰	𨇰 𫏞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫏑 U+2B3D1
𨇽	𨇽 𫏑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨂺 U+280BA
𨈊	𨈊 𨂺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨄄 U+28104
𨈌	𨈌 𨄄
𨊰	䢀
𨊸	䢁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨐆 U+28406
𨊻	𨊻 𨐆
𨋢	䢂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐍 U+2B40D
𨌈	𨌈 𫐍
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐔 U+2B414
𨍰	𨍰 𫐔
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐋 U+2B40B
𨎌	𨎌 𫐋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨐉 U+28409
𨎮	𨎮 𨐉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨐇 U+28407
𨏠	𨏠 𨐇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨐊 U+2840A
𨏥	𨏥 𨐊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟫 U+2B7EB
𨞺	𨞺 𫟫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟬 U+2B7EC
𨟊	𨟊 𫟬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨡙 U+28859
𨢿	𨢿 𨡙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨡺 U+2887A
𨣈	𨣈 𨡺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨟳 U+287F3
𨣞	𨣞 𨟳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨠨 U+28828
𨣧	𨣧 𨠨
𨤻	𨤰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱀 U+28C40
𨥛	𨥛 𨱀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓫 U+2B4EB
𨥟	𨥟 𫓫
𨦫	䦀
𨧀	𬭊
𨧜	䦁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟽 U+2B7FD
𨧰	𨧰 𫟽
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱊 U+28C4A
𨧱	𨧱 𨱊
𨨏	𬭛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓼 U+2B4FC
𨨛	𨨛 𫓼
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓿 U+2B4FF
𨨢	𨨢 𫓿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟾 U+2B7FE
𨩰	𨩰 𫟾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓮 U+2B4EE
𨪕	𨪕 𫓮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱐 U+28C50
𨫒	𨫒 𨱐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔏 U+2B50F
𨬖	𨬖 𫔏
𨭆	𬭶
𨭎	𬭳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔑 U+2B511
𨭖	𨭖 𫔑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔐 U+2B510
𨭸	𨭸 𫔐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱕 U+28C55
𨮂	𨮂 𨱕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔒 U+2B512
𨮳	𨮳 𫔒
𨯅	䥿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔓 U+2B513
𨯟	𨯟 𫔓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔉 U+2B509
𨰃	𨰃 𫔉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓳 U+2B4F3
𨰋	𨰋 𫓳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔕 U+2B515
𨰥	𨰥 𫔕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔃 U+2B503
𨰲	𨰲 𫔃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔖 U+2B516
𨲳	𨲳 𫔖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸁 U+28E01
𨳑	𨳑 𨸁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸀 U+28E00
𨳕	𨳕 𨸀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸅 U+28E05
𨴗	𨴗 𨸅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔲 U+2B532
𨴹	𨴹 𫔲
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸆 U+28E06
𨵩	𨵩 𨸆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸇 U+28E07
𨵸	𨵸 𨸇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸉 U+28E09
𨶀	𨶀 𨸉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸊 U+28E0A
𨶏	𨶏 𨸊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸌 U+28E0C
𨶮	𨶮 𨸌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸋 U+28E0B
𨶲	𨶲 𨸋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸎 U+28E0E
𨷲	𨷲 𨸎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔽 U+2B53D
𨼳	𨼳 𫔽
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸘 U+28E18
𨽏	𨽏 𨸘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫕚 U+2B55A
𩀨	𩀨 𫕚
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫕨 U+2B568
𩅙	𩅙 𫕨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖑 U+2B591
𩎖	𩎖 𫖑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩏾 U+293FE
𩎢	𩎢 𩏾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖓 U+2B593
𩏂	𩏂 𫖓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖖 U+2B596
𩏠	𩏠 𫖖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩏽 U+293FD
𩏪	𩏪 𩏽
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫃗 U+2B0D7
𩏷	𩏷 𫃗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖪 U+2B5AA
𩑔	𩑔 𫖪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖭 U+2B5AD
𩒎	𩒎 𫖭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩖕 U+29595
𩓣	𩓣 𩖕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖵 U+2B5B5
𩓥	𩓥 𫖵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖷 U+2B5B7
𩔑	𩔑 𫖷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖴 U+2B5B4
𩔳	𩔳 𫖴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠇 U+2B807
𩖰	𩖰 𫠇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙦 U+29666
𩗀	𩗀 𩙦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗈 U+2B5C8
𩗓	𩗓 𫗈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗉 U+2B5C9
𩗴	𩗴 𫗉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙩 U+29669
𩘀	𩘀 𩙩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙭 U+2966D
𩘝	𩘝 𩙭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙨 U+29668
𩘹	𩘹 𩙨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙬 U+2966C
𩘺	𩘺 𩙬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙰 U+29670
𩙈	𩙈 𩙰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩟿 U+297FF
𩚛	𩚛 𩟿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠀 U+29800
𩚥	𩚥 𩠀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗡 U+2B5E1
𩚩	𩚩 𫗡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠁 U+29801
𩚵	𩚵 𩠁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠂 U+29802
𩛆	𩛆 𩠂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗤 U+2B5E4
𩛌	𩛌 𫗤
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗨 U+2B5E8
𩛡	𩛡 𫗨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠃 U+29803
𩛩	𩛩 𩠃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠉 U+29809
𩜇	𩜇 𩠉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠆 U+29806
𩜦	𩜦 𩠆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠊 U+2980A
𩜵	𩜵 𩠊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠋 U+2980B
𩝔	𩝔 𩠋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗳 U+2B5F3
𩝽	𩝽 𫗳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠎 U+2980E
𩞄	𩞄 𩠎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠏 U+2980F
𩞦	𩞦 𩠏
𩞯	䭪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩠅 U+29805
𩟐	𩟐 𩠅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗚 U+2B5DA
𩟗	𩟗 𫗚
𩠴	𩠠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩡖 U+29856
𩡣	𩡣 𩡖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧦 U+299E6
𩡺	𩡺 𩧦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧬 U+299EC
𩢡	𩢡 𩧬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧵 U+299F5
𩢴	𩢴 𩧵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧳 U+299F3
𩢸	𩢸 𩧳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧮 U+299EE
𩢾	𩢾 𩧮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧶 U+299F6
𩣏	𩣏 𩧶
𩣑	䯃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧸 U+299F8
𩣫	𩣫 𩧸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧻 U+299FB
𩣵	𩣵 𩧻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧼 U+299FC
𩣺	𩣺 𩧼
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧩 U+299E9
𩤊	𩤊 𩧩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨆 U+29A06
𩤙	𩤙 𩨆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨉 U+29A09
𩤲	𩤲 𩨉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨅 U+29A05
𩤸	𩤸 𩨅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨋 U+29A0B
𩥄	𩥄 𩨋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨍 U+29A0D
𩥇	𩥇 𩨍
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧱 U+299F1
𩥉	𩥉 𩧱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨌 U+29A0C
𩥑	𩥑 𩨌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠌 U+2B80C
𩦠	𩦠 𫠌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨐 U+29A10
𩧆	𩧆 𩨐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩬣 U+29B23
𩭙	𩭙 𩬣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫙂 U+2B642
𩯁	𩯁 𫙂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩯒 U+29BD2
𩯳	𩯳 𩯒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩬤 U+29B24
𩰀	𩰀 𩬤
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩰰 U+29C30
𩰹	𩰹 𩰰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩲒 U+29C92
𩳤	𩳤 𩲒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩴌 U+29D0C
𩴵	𩴵 𩴌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠏 U+2B80F
𩵦	𩵦 𫠏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩽺 U+29F7A
𩵩	𩵩 𩽺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩽻 U+29F7B
𩵹	𩵹 𩽻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚎 U+2B68E
𩶁	𩶁 𫚎
𩶘	䲞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩽿 U+29F7F
𩶰	𩶰 𩽿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩽽 U+29F7D
𩶱	𩶱 𩽽
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩾄 U+29F84
𩷰	𩷰 𩾄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩾅 U+29F85
𩸃	𩸃 𩾅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚝 U+2B69D
𩸄	𩸄 𫚝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚟 U+2B69F
𩸡	𩸡 𫚟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩾆 U+29F86
𩸦	𩸦 𩾆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚨 U+2B6A8
𩻗	𩻗 𫚨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚩 U+2B6A9
𩻬	𩻬 𫚩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚘 U+2B698
𩻮	𩻮 𫚘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚬 U+2B6AC
𩼶	𩼶 𫚬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩾎 U+29F8E
𩽇	𩽇 𩾎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠖 U+2B816
𩿅	𩿅 𫠖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛠 U+2B6E0
𩿤	𩿤 𫛠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉄 U+2A244
𩿪	𩿪 𪉄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛧 U+2B6E7
𪀖	𪀖 𫛧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉅 U+2A245
𪀦	𪀦 𪉅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉋 U+2A24B
𪀾	𪀾 𪉋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉉 U+2A249
𪁈	𪁈 𪉉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉌 U+2A24C
𪁖	𪁖 𪉌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉎 U+2A24E
𪂆	𪂆 𪉎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉐 U+2A250
𪃍	𪃍 𪉐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉏 U+2A24F
𪃏	𪃏 𪉏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛻 U+2B6FB
𪃒	𪃒 𫛻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛹 U+2B6F9
𪃧	𪃧 𫛹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉔 U+2A254
𪄆	𪄆 𪉔
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉒 U+2A252
𪄕	𪄕 𪉒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜂 U+2B702
𪅂	𪅂 𫜂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛾 U+2B6FE
𪆷	𪆷 𫛾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉕 U+2A255
𪇳	𪇳 𪉕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𱊜 U+3129C
𪈼	𪈼 𱊜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜊 U+2B70A
𪉸	𪉸 𫜊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫧮 U+2B9EE
𪋿	𪋿 𫧮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜓 U+2B713
𪌭	𪌭 𫜓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜕 U+2B715
𪍠	𪍠 𫜕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜟 U+2B71F
𪓰	𪓰 𫜟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪔭 U+2A52D
𪔵	𪔵 𪔭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪚏 U+2A68F
𪘀	𪘀 𪚏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪚐 U+2A690
𪘯	𪘯 𪚐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜯 U+2B72F
𪙏	𪙏 𫜯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠛾 U+206FE
𪟖	𪟖 𠛾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣶭 U+23DAD
𪷓	𪷓 𣶭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓷 U+2B4F7
𫒡	𫒡 𫓷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜫 U+2B72B
𫜦	𫜦 𫜫
𰻞	𰻝
