一万二	一萬二
借书单	借書單
借书证	借書證
借借看	借借看
借债人	借債人
借入方	借入方
借入款	借入款
借出去	借出去
借出来	借出來
借助于	藉助於
借单儿	借單兒
借回去	借回去
借回来	借回來
借字儿	借字兒
借寇兵	藉寇兵
借寇恂	借寇恂
借款人	借款人
借记卡	借記卡
借阅率	借閱率
借齿牙	借齒牙
倪云林	倪雲林
倪嗣冲	倪嗣沖
债权团	債權團
值得干	值得幹
值日表	值日表
倾向于	傾向於
倾向性	傾向性
倾斜面	傾斜面
假借义	假借義
假借字	假借字
假借法	假借法
假面具	假面具
假面剧	假面劇
偏回去	偏回去
偏回来	偏回來
偏执症	偏執症
偏极光	偏極光
偏极化	偏極化
偏极镜	偏極鏡
偏重于	偏重於
做不了	做不了
做出场	做出場
做出来	做出來
做得了	做得了
做针线	做針綫
停尸房	停屍房
停尸间	停屍間
健忘症	健忘症
偶发性	偶發性
偷出去	偷出去
偷出来	偷出來
偷回去	偷回去
偷回来	偷回來
偷婆娘	偷婆娘
偿回去	償回去
偿回来	償回來
傅克斯	傅克斯
傅利叶	傅利葉
傅匀余	傅勻余
傅科摆	傅科擺
傅立叶	傅立葉
傅里叶	傅里葉
催眠曲	催眠曲
催眠术	催眠術
催眠药	催眠藥
傻大个	傻大個
僵固性	僵固性
僵直性	僵直性
儒略历	儒略曆
儿童台	兒童台
儿童团	兒童團
兄弟党	兄弟黨
充场面	充場面
充满了	充滿了
充能干	充能幹
充门面	充門面
兆丰金	兆豐金
兆丰银	兆豐銀
先修班	先修班
先出去	先出去
先出来	先出來
先回到	先回到
先回去	先回去
先回来	先回來
光了了	光了了
光冲量	光衝量
光出律	光出律
光出溜	光出溜
光卤石	光鹵石
光周期	光周期
光复乡	光復鄉
光复会	光復會
光复节	光復節
光复路	光復路
光度表	光度表
光敏症	光敏症
光明云	光明雲
光明党	光明黨
光明面	光明面
光杆儿	光桿兒
光板儿	光板兒
光烟雾	光煙霧
光碟柜	光碟櫃
光纤维	光纖維
光脊梁	光脊樑
光致致	光緻緻
光艺术	光藝術
光范围	光範圍
光面子	光面子
克东县	克東縣
克丽丝	克麗絲
克伦克	克倫克
克伦奇	克倫奇
克佩罗	克佩羅
克克尔	克克爾
克兰诗	克蘭詩
克分子	克分子
克利斯	克利斯
克劳佛	克勞佛
克劳可	克勞可
克劳契	克勞契
克劳德	克勞德
克劳斯	克勞斯
克劳福	克勞福
克勒特	克勒特
克卜勒	克卜勒
克原子	克原子
克家子	克家子
克尔白	克爾白
克山县	克山縣
克当量	克當量
克拉克	克拉克
克拉兹	克拉茲
克拉姆	克拉姆
克拉本	克拉本
克拉科	克拉科
克林德	克林德
克林顿	克林頓
克格勃	克格勃
克汀病	克汀病
克洛尔	克洛爾
克洛斯	克洛斯
克洛格	克洛格
克流感	克流感
克瑞强	克瑞強
克瑞格	克瑞格
克罗埃	克羅埃
克罗德	克羅德
克罗齐	克羅齊
克耳文	克耳文
克耶族	克耶族
克耶邦	克耶邦
克莉丝	克莉絲
克莱儿	克萊兒
克莱因	克萊因
克莱恩	克萊恩
克莱曼	克萊曼
克莱柏	克萊柏
克莱格	克萊格
克莱顿	克萊頓
克蕾儿	克蕾兒
克虏伯	克虜伯
克里夫	克里夫
克里岛	克里島
克里斯	克里斯
克里木	克里木
克里梅	克里梅
克里特	克里特
克里门	克里門
克隆人	克隆人
克隆尼	克隆尼
克难街	克難街
克雷因	克雷因
克雷文	克雷文
克雷斯	克雷斯
克雷格	克雷格
克雷默	克雷默
克霉唑	克黴唑
克鲁兹	克魯茲
克鲁利	克魯利
克鲁尼	克魯尼
克鲁斯	克魯斯
克鲁格	克魯格
免不了	免不了
党三役	黨三役
党中央	黨中央
党主席	黨主席
党代会	黨代會
党代表	黨代表
党八股	黨八股
党公职	黨公職
党员证	黨員證
党团员	黨團員
党太尉	党太尉
党委会	黨委會
党小组	黨小組
党怀英	党懷英
党总支	黨總支
党支书	党支書
党政军	黨政軍
党籍碑	黨籍碑
党项族	党項族
入出境	入出境
入夜后	入夜後
內出血	內出血
內制作	內製作
內务柜	內務櫃
內婚制	內婚制
內心里	內心裏
內服药	內服藥
內蒙古	內蒙古
內阁制	內閣制
全出去	全出去
全出来	全出來
全台湾	全臺灣
全挂子	全掛子
全斗焕	全斗煥
全日制	全日制
全票价	全票價
全系列	全系列
全系统	全系統
全缘叶	全緣葉
全范围	全範圍
全裂叶	全裂葉
全谷物	全穀物
全面性	全面性
八万多	八萬多
八军团	八軍團
八分钟	八分鐘
八十万	八十萬
八十几	八十幾
八千万	八千萬
八千亿	八千億
八千多	八千多
八千点	八千點
八周年	八週年
八天后	八天後
八字胡	八字鬍
八斗子	八斗子
八斗才	八斗才
八极拳	八極拳
八点钟	八點鐘
八百万	八百萬
八秒钟	八秒鐘
八进制	八進制
八里乡	八里鄉
八面体	八面體
八面光	八面光
八面锋	八面鋒
公仔面	公仔麵
公使团	公使團
公切面	公切面
公孙丑	公孫丑
公定价	公定價
公布栏	公佈欄
公明党	公明黨
公有制	公有制
公里数	公里數
公里时	公里時
六万个	六萬個
六万人	六萬人
六万元	六萬元
六万块	六萬塊
六万多	六萬多
六个人	六個人
六个月	六個月
六分钟	六分鐘
六十万	六十萬
六十几	六十幾
六千万	六千萬
六千个	六千個
六千人	六千人
六千亿	六千億
六千元	六千元
六千块	六千塊
六千多	六千多
六千点	六千點
六合区	六合區
六合彩	六合彩
六合路	六合路
六周年	六週年
六天后	六天後
六星彩	六星彩
六点钟	六點鐘
六百万	六百萬
六百个	六百個
六面体	六面體
六须鲶	六鬚鯰
兰叶描	蘭葉描
兰叶撇	蘭葉撇
兰花烟	蘭花煙
共产党	共產黨
共产制	共產制
共价键	共價鍵
共同体	共同體
共同性	共同性
共同点	共同點
共同社	共同社
共同语	共同語
共和党	共和黨
共和制	共和制
共和历	共和曆
共基极	共基極
共青团	共青團
关不了	關不了
关云长	關雲長
关回去	關回去
关怀面	關懷面
关注度	關注度
关系人	關係人
关系到	關係到
关系和	關繫和
关系奖	關係獎
关系式	關係式
关系户	關係戶
关系法	關係法
关系着	關係着
关系词	關係詞
关系调	關係調
关系部	關係部
关节面	關節面
兴冲冲	興沖沖
兴隆台	興隆臺
兵器术	兵器術
兵工厂	兵工廠
兵籍表	兵籍表
典范性	典範性
养婆娘	養婆娘
兽医系	獸醫系
内出血	內出血
内蒙古	內蒙古
冈田准	岡田准
冉有仆	冉有僕
再出去	再出去
再出来	再出來
再出现	再出現
再制品	再製品
再制盐	再製鹽
再制纸	再製紙
再发生	再發生
再发见	再發見
再回到	再回到
再回去	再回去
再回来	再回來
再见面	再見面
再转复	再轉復
冒出来	冒出來
写不出	寫不出
写出去	寫出去
写出来	寫出來
写回去	寫回去
写回来	寫回來
写字台	寫字檯
军团菌	軍團菌
军官团	軍官團
军舰岩	軍艦岩
农作曲	農作曲
农化系	農化系
农历年	農曆年
农复会	農復會
农奴制	農奴制
农技团	農技團
农机系	農機系
农民党	農民黨
农民历	農民曆
农经系	農經系
农艺系	農藝系
农药商	農藥商
冠军杯	冠軍盃
冠子虫	冠子蟲
冥子里	冥子裏
冬不拉	冬不拉
冬冬鼓	鼕鼕鼓
冬天里	冬天裏
冬奥会	冬奧會
冬字头	冬字頭
冬季档	冬季檔
冬季节	冬季節
冬季赛	冬季賽
冬小麦	冬小麥
冬山乡	冬山鄉
冬山河	冬山河
冬日里	冬日裏
冬柴铁	冬柴鐵
冬瓜汤	冬瓜湯
冬瓜茶	冬瓜茶
冬眠期	冬眠期
冬至点	冬至點
冬运会	冬運會
冬青树	冬青樹
冯胜贤	馮勝賢
冯骥才	馮驥才
冰碛岩	冰磧岩
冲上前	衝上前
冲上去	衝上去
冲上来	衝上來
冲下去	衝下去
冲下来	衝下來
冲不上	衝不上
冲不下	衝不下
冲不入	衝不入
冲不出	衝不出
冲不开	衝不開
冲不破	衝不破
冲不过	衝不過
冲不进	衝不進
冲了上	衝了上
冲了下	衝了下
冲了入	衝了入
冲了出	衝了出
冲了来	衝了來
冲了过	衝了過
冲了进	衝了進
冲冲水	沖沖水
冲出去	衝出去
冲出来	衝出來
冲击力	衝擊力
冲击性	衝擊性
冲击波	衝擊波
冲刺班	衝刺班
冲动型	衝動型
冲压机	衝壓機
冲向前	衝向前
冲回去	衝回去
冲在下	衝在下
冲在前	衝在前
冲天炉	衝天爐
冲天炮	衝天炮
冲头阵	衝頭陣
冲得入	衝得入
冲得出	衝得出
冲得过	衝得過
冲得进	衝得進
冲撞力	衝撞力
冲断层	衝斷層
冲服剂	沖服劑
冲泡式	沖泡式
冲浪客	衝浪客
冲浪板	衝浪板
冲浪者	衝浪者
冲浪赛	衝浪賽
冲淋浴	沖淋浴
冲牀工	沖牀工
冲盹儿	衝盹兒
冲积土	沖積土
冲积堤	沖積堤
冲积层	沖積層
冲积岛	沖積島
冲积成	沖積成
冲积扇	沖積扇
冲积物	沖積物
冲空机	沖空機
冲突区	衝突區
冲突性	衝突性
冲突点	衝突點
冲绳县	沖繩縣
冲绳岛	沖繩島
冲自己	衝自己
冲起来	衝起來
冲过去	衝過去
冲过来	衝過來
冲进去	衝進去
冲进来	衝進來
冲锋号	衝鋒號
冲锋枪	衝鋒槍
冲锋鎗	衝鋒鎗
决定出	決定出
决心干	決心幹
决斗者	決鬥者
决胜局	決勝局
决胜期	決勝期
决胜点	決勝點
决胜盘	決勝盤
决胜节	決勝節
决胜负	決勝負
冶炼厂	冶煉廠
冶炼炉	冶煉爐
冷冻柜	冷凍櫃
冷地里	冷地里
冷感症	冷感症
冷板凳	冷板凳
冷板曲	冷板曲
冷气团	冷氣團
冷腌法	冷醃法
冷藏柜	冷藏櫃
冷读术	冷讀術
冷面相	冷面相
准三后	准三后
准不准	準不準
准保护	准保護
准保释	准保釋
准决斗	准決鬥
准决赛	準決賽
准分子	準分子
准噶尔	準噶爾
准备下	準備下
准备好	準備好
准备率	準備率
准备给	準備給
准备金	準備金
准妈妈	準媽媽
准平原	準平原
准拿督	準拿督
准新娘	準新娘
准新郎	準新郎
准时到	準時到
准普尔	准普爾
准格尔	準格爾
准決賽	準決賽
准点率	準點率
准确度	準確度
准确性	準確性
准确率	準確率
准考证	准考證
准谱儿	準譜兒
准货币	準貨幣
凌云县	凌雲縣
凌志美	凌志美
凌烟阁	凌煙閣
凌蒙初	凌濛初
减压症	減壓症
减压表	減壓表
减肥药	減肥藥
凑合着	湊合著
凝合力	凝合力
凝灰岩	凝灰岩
几丁质	幾丁質
几万个	幾萬個
几万人	幾萬人
几万元	幾萬元
几万块	幾萬塊
几世纪	幾世紀
几个人	幾個人
几个月	幾個月
几乎不	幾乎不
几乎在	幾乎在
几乎是	幾乎是
几人份	幾人份
几件事	幾件事
几位数	幾位數
几何体	幾何體
几何学	幾何學
几何线	幾何綫
几何量	幾何量
几儿个	幾兒個
几內亚	幾內亞
几内亚	幾內亞
几分钟	幾分鐘
几匹马	幾匹馬
几十万	幾十萬
几十个	幾十個
几十人	幾十人
几十亿	幾十億
几十年	幾十年
几千万	幾千萬
几千个	幾千個
几千人	幾千人
几千元	幾千元
几千块	幾千塊
几千年	幾千年
几句话	幾句話
几回价	幾回價
几块钱	幾塊錢
几大块	幾大塊
几大片	幾大片
几大类	幾大類
几天后	幾天後
几天来	幾天來
几封信	幾封信
几小时	幾小時
几层楼	幾層樓
几年来	幾年來
几年生	幾年生
几年级	幾年級
几成新	幾成新
几文钱	幾文錢
几日份	幾日份
几星期	幾星期
几月份	幾月份
几本书	幾本書
几梯次	幾梯次
几比几	幾比幾
几毛钱	幾毛錢
几滴水	幾滴水
几炷香	幾炷香
几点了	幾點了
几点几	幾點幾
几点钟	幾點鐘
几番家	幾番家
几百万	幾百萬
几百个	幾百個
几百人	幾百人
几百亿	幾百億
几百元	幾百元
几百块	幾百塊
几百年	幾百年
几盒装	幾盒裝
几碗饭	幾碗飯
几秒钟	幾秒鐘
几能勾	幾能勾
几节课	幾節課
几角形	幾角形
几趟路	幾趟路
几辆车	幾輛車
几近于	幾近於
几道菜	幾道菜
几面上	几面上
几首歌	幾首歌
凤凰台	鳳凰臺
凤台县	鳳台縣
凤尾松	鳳尾松
凤梨干	鳳梨乾
凭借着	憑藉着
凯里市	凱裏市
凶巴巴	兇巴巴
凶得狠	兇得狠
凶杀案	兇殺案
凶起来	兇起來
凸出去	凸出去
凸出成	凸出成
凸出来	凸出來
凸折线	凸折綫
凸显出	凸顯出
凸面体	凸面體
凸面镜	凸面鏡
凹洞里	凹洞裏
凹面镜	凹面鏡
出不起	出不起
出世作	出世作
出世法	出世法
出个价	出個價
出主意	出主意
出乱子	出亂子
出了事	出了事
出了月	出了月
出事情	出事情
出产地	出產地
出人命	出人命
出份子	出份子
出借书	出借書
出入口	出入口
出入境	出入境
出入証	出入証
出入证	出入證
出入门	出入門
出公差	出公差
出其右	出其右
出冷门	出冷門
出出气	出出氣
出分子	出分子
出勤率	出勤率
出厂价	出廠價
出去会	出去會
出去时	出去時
出去玩	出去玩
出发到	出發到
出发地	出發地
出发日	出發日
出发点	出發點
出口值	出口值
出口到	出口到
出口区	出口區
出口商	出口商
出口国	出口國
出口处	出口處
出口税	出口稅
出口货	出口貨
出口量	出口量
出口额	出口額
出品人	出品人
出品国	出品國
出售给	出售給
出唱片	出唱片
出喽子	出嘍子
出国前	出國前
出国时	出國時
出国者	出國者
出圈儿	出圈兒
出土物	出土物
出场费	出場費
出境証	出境証
出境证	出境證
出外人	出外人
出外景	出外景
出大差	出大差
出大恭	出大恭
出太阳	出太陽
出头天	出頭天
出头棍	出頭棍
出头鸟	出頭鳥
出娄子	出婁子
出家人	出家人
出小恭	出小恭
出尖儿	出尖兒
出局数	出局數
出岔儿	出岔兒
出岔子	出岔子
出差费	出差費
出差错	出差錯
出师表	出師表
出席率	出席率
出席者	出席者
出席费	出席費
出征收	出徵收
出意外	出意外
出把戏	出把戲
出操课	出操課
出故典	出故典
出数儿	出數兒
出月子	出月子
出条子	出條子
出来时	出來時
出楼子	出樓子
出殡日	出殯日
出毛病	出毛病
出气口	出氣口
出气筒	出氣筒
出水口	出水口
出水管	出水管
出洋相	出洋相
出海口	出海口
出港证	出港證
出溜儿	出溜兒
出漏子	出漏子
出火炕	出火炕
出点子	出點子
出版业	出版業
出版人	出版人
出版品	出版品
出版商	出版商
出版所	出版所
出版日	出版日
出版法	出版法
出版物	出版物
出版界	出版界
出版社	出版社
出版者	出版者
出版节	出版節
出版项	出版項
出状况	出狀況
出现数	出現數
出生别	出生別
出生地	出生地
出生年	出生年
出生日	出生日
出生牙	出生牙
出生率	出生率
出生纸	出生紙
出生证	出生證
出电影	齣電影
出电视	齣電視
出疹子	出疹子
出社会	出社會
出租人	出租人
出租店	出租店
出租率	出租率
出租给	出租給
出租车	出租車
出窝老	出窩老
出笼鸟	出籠鳥
出红差	出紅差
出纳台	出納台
出纳员	出納員
出纳处	出納處
出纳科	出納科
出纳组	出納組
出老千	出老千
出自于	出自於
出节目	齣節目
出花儿	出花兒
出花样	出花樣
出芽法	出芽法
出苗率	出苗率
出虚恭	出虛恭
出血性	出血性
出血热	出血熱
出血病	出血病
出血量	出血量
出货单	出貨單
出货量	出貨量
出资人	出資人
出起来	出起來
出超国	出超國
出超额	出超額
出车祸	出車禍
出进口	出進口
出远门	出遠門
出道时	出道時
出锋头	出鋒頭
出镜头	出鏡頭
出门子	出門子
出门时	出門時
出问题	出問題
出难题	出難題
出风口	出風口
出风头	出風頭
出高价	出高價
函谷关	函谷關
凿出去	鑿出去
凿出来	鑿出來
凿岩机	鑿巖機
凿船虫	鑿船蟲
刀创药	刀創藥
刀削面	刀削麵
分不出	分不出
分出去	分出去
分出来	分出來
分别出	分別出
分半钟	分半鐘
分厘卡	分釐卡
分发到	分發到
分发区	分發區
分发给	分發給
分向岛	分向島
